Words,Category,Topic
bank,痹力/痹力扁包,Topic 0
regulator,痹力/痹力扁包,Topic 0
plan,痹力/痹力扁包,Topic 0
privacy,痹力/痹力扁包,Topic 0
cryptocurrency,痹力/痹力扁包,Topic 0
project,痹力/痹力扁包,Topic 0
service,痹力/痹力扁包,Topic 0
committee,痹力/痹力扁包,Topic 0
money,痹力/痹力扁包,Topic 0
group,痹力/痹力扁包,Topic 0
regulation,痹力/痹力扁包,Topic 0
payment,痹力/痹力扁包,Topic 0
currency,痹力/痹力扁包,Topic 0
market,痹力/痹力扁包,Topic 0
finance,痹力/痹力扁包,Topic 0
investigation,痹力/痹力扁包,Topic 1
department,痹力/痹力扁包,Topic 1
justice,痹力/痹力扁包,Topic 1
report,痹力/痹力扁包,Topic 1
law,痹力/痹力扁包,Topic 1
trade,痹力/痹力扁包,Topic 1
commission,痹力/痹力扁包,Topic 1
ftc,痹力/痹力扁包,Topic 1
market,痹力/痹力扁包,Topic 1
technology,痹力/痹力扁包,Topic 1
government,痹力/痹力扁包,Topic 1
product,痹力/痹力扁包,Topic 1
china,痹力/痹力扁包,Topic 1
tech,痹力/痹力扁包,Topic 1
concern,痹力/痹力扁包,Topic 1
