Words,Category,Topic
ban,기업,Topic 0
china,기업,Topic 0
technology,기업,Topic 0
government,기업,Topic 0
report,기업,Topic 0
security,기업,Topic 0
world,기업,Topic 0
network,기업,Topic 0
market,기업,Topic 0
smartphone,기업,Topic 0
research,기업,Topic 0
device,기업,Topic 0
chip,기업,Topic 0
trade,기업,Topic 0
comment,기업,Topic 0
service,기업,Topic 1
target,기업,Topic 1
privacy,기업,Topic 1
developer,기업,Topic 1
product,기업,Topic 1
control,기업,Topic 1
offer,기업,Topic 1
customer,기업,Topic 1
feature,기업,Topic 1
share,기업,Topic 1
store,기업,Topic 1
consumer,기업,Topic 1
platform,기업,Topic 1
option,기업,Topic 1
report,기업,Topic 1
