Word,International,Regulation,Corporate,Law,Market,Tech
hurt,0.0,0.0,1.0,0.0,0.0,0.0
identity,1.0,0.0,0.0,1.0,0.0,0.0
instagram,0.0,0.0,1.0,0.0,0.0,0.0
instal,0.0,0.0,1.23,0.0,0.0,1.08
installs,0.0,0.0,1.0,0.0,0.0,1.0
introduces,0.0,0.0,0.0,0.0,0.0,1.03
investigation,0.0,1.08,1.0,0.0,0.0,0.0
issue,0.0,0.0,0.0,0.0,0.0,1.05
judge,0.0,0.0,0.0,1.0,0.0,0.0
justice,0.0,1.08,0.0,0.0,0.0,0.0
keep,0.0,0.0,1.0,0.0,0.0,0.0
know,0.0,0.0,0.0,0.0,0.0,1.05
laptop,0.0,0.0,0.0,0.0,0.0,1.03
launch,1.0,0.0,0.0,0.0,0.0,1.16
lawmaker,0.0,1.15,0.0,0.0,0.0,1.0
lawsuit,0.0,0.0,0.0,1.25,0.0,0.0
lawyer,1.0,0.0,0.0,1.0,0.0,0.0
lay,0.0,0.0,1.0,0.0,0.0,0.0
line,0.0,0.0,1.0,0.0,0.0,0.0
lose,0.0,0.0,1.0,0.0,0.0,0.0
market,0.0,0.0,1.0,0.0,1.0,0.0
mate,0.0,0.0,0.0,0.0,0.0,1.0
matter,0.0,0.0,1.0,0.0,0.0,1.0
meet,0.0,1.0,0.0,0.0,0.0,0.0
minister,1.12,0.0,0.0,0.0,0.0,0.0
monitor,0.0,0.0,0.0,0.0,0.0,1.0
monopoly,0.0,0.0,1.0,0.0,0.0,0.0
move,0.0,1.08,1.23,0.0,0.0,0.0
need,0.0,0.0,0.0,0.0,0.0,1.0
network,0.0,0.0,1.08,0.0,0.0,1.03
object,0.0,1.15,0.0,0.0,0.0,0.0
office,0.0,0.0,1.0,0.0,0.0,0.0
older,0.0,0.0,0.0,0.0,0.0,1.0
oppose,0.0,1.0,0.0,0.0,0.0,0.0
others,0.0,0.0,0.0,0.0,0.0,1.0
overheat,0.0,0.0,0.0,0.0,0.0,1.0
oversight,0.0,1.08,0.0,0.0,0.0,0.0
partner,0.0,0.0,0.0,0.0,0.0,1.05
patch,0.0,0.0,0.0,0.0,0.0,1.0
patent,0.0,0.0,0.0,1.0,0.0,1.0
pay,0.0,0.0,1.0,0.0,0.0,0.0
payment,0.0,0.0,0.0,0.0,0.0,1.03
