Ranking,Company,Nation,HQ,Sector,Industry,Web
290,GlaxoSmithKline,Britain,"Brentford, Britain",Health Care,Pharmaceuticals,www.gsk.com
291,Talanx,Germany,"Hanover, Germany",Financials,Insurance: Property and Casualty (Stock),www.talanx.com
292,Royal Bank of Canada,Canada,"Toronto, Ontario, Canada",Financials,Banks: Commercial and Savings,www.rbc.com
293,Allstate,U.S.,"Northbrook, Ill.",Financials,Insurance: Property and Casualty (Stock),www.allstate.com
294,Shaanxi Coal & Chemical Industry,China,"Xi'an, China",Energy,"Mining, Crude-Oil Production",www.shccig.com
295,AIA Group,China,Hong Kong,Financials,"Insurance: Life, Health (stock)",www.aia.com
296,BHP Billiton,Australia,Melbourne,Energy,"Mining, Crude-Oil Production",www.bhpbilliton.com
297,Tyson Foods,U.S.,"Springdale, Ark.","Food, Beverages & Tobacco",Food Production,www.tysonfoods.com
298,Fresenius,Germany,"Bad Homburg, Germany",Health Care,Health Care: Medical Facilities,www.fresenius.com
299,Alimentation Couche-Tard,Canada,"Laval, Quebec, Canada",Food & Drug Stores,Food & Drug Stores,http://corpo.couche-tard.com
300,Alibaba Group Holding,China,"Hangzhou, China",Technology,Internet Services and Retailing,www.alibabagroup.com
301,United Continental Holdings,U.S.,Chicago,Transportation,Airlines,www.united.com
302,Oracle,U.S.,"Redwood City, Calif.",Technology,Computer Software,www.oracle.com
303,J. Sainsbury,Britain,London,Food & Drug Stores,Food & Drug Stores,www.j-sainsbury.co.uk
304,Poste Italiane,Italy,Rome,Financials,"Insurance: Life, Health (stock)",www.posteitaliane.it
305,Maersk Group,Denmark,Copenhagen,Transportation,Shipping,www.maersk.com
306,UBS Group,Switzerland,Zurich,Financials,Banks: Commercial and Savings,www.ubs.com
307,Bouygues,France,Paris,Engineering & Construction,Engineering & Construction,www.bouygues.com
308,George Weston,Canada,"Toronto, Ontario, Canada",Food & Drug Stores,Food & Drug Stores,www.weston.ca
309,Meiji Yasuda Life Insurance,Japan,Tokyo,Financials,"Insurance: Life, Health (Mutual)",www.meijiyasuda.co.jp
310,Edeka Zentrale,Germany,Hamburg,Wholesalers,Wholesalers: Food and Grocery,www.edeka-verbund.de
311,Mitsubishi Heavy Industries,Japan,Tokyo,Industrials,Industrial Machinery,www.mhi.com
312,China Poly Group,China,Beijing,Financials,Real estate,www.poly.com.cn
313,Fujitsu,Japan,Tokyo,Technology,Information Technology Services,www.fujitsu.com
314,Bharat Petroleum,India,Mumbai,Energy,Petroleum Refining,www.bharatpetroleum.in
315,Tech Data,U.S.,"Clearwater, Fla.",Wholesalers,Wholesalers: Electronics and Office Equipment,www.techdata.com
316,Accenture,Ireland,Dublin,Technology,Information Technology Services,www.accenture.com
317,Canon,Japan,Tokyo,Technology,"Computers, Office Equipment",www.canon.com
318,Centrica,Britain,"Windsor, Britain",Energy,Utilities,www.centrica.com
319,TIAA,U.S.,New York City,Financials,"Insurance: Life, Health (Mutual)",www.tiaa.org
320,SNCF Mobilites,France,"St. Denis, France",Transportation,Railroads,www.sncf.com
321,TJX,U.S.,"Framingham, Mass.",Retailing,Specialty Retailers,www.tjx.com
322,China Everbright Group,China,Beijing,Financials,Banks: Commercial and Savings,www.ebchina.com
323,Midea Group,China,"Foshan, China",Technology,"Electronics, Electrical Equip.",www.midea.com
324,Intesa Sanpaolo,Italy,"Turin, Italy",Financials,Banks: Commercial and Savings,www.group.intesasanpaolo.com
325,Vale,Brazil,Rio de Janeiro,Energy,"Mining, Crude-Oil Production",www.vale.com
326,Toshiba,Japan,Tokyo,Technology,"Electronics, Electrical Equip.",www.toshiba.co.jp
327,American Express,U.S.,New York City,Financials,Diversified Financials,www.americanexpress.com
328,Coca-Cola,U.S.,Atlanta,"Food, Beverages & Tobacco",Beverages,www.coca-colacompany.com
329,Aisin Seiki,Japan,"Kariya, Japan",Motor Vehicles & Parts,Motor Vehicles & Parts,www.aisin.com
330,Iberdrola,Spain,"Bilbao, Spain",Energy,Utilities,www.iberdrola.com
331,Tencent Holdings,China,"Shenzhen, China",Technology,Internet Services and Retailing,www.tencent.com
332,China Vanke,China,"Shenzhen, China",Financials,Real estate,www.vanke.com
333,China Energy Engineering Group,China,Beijing,Engineering & Construction,Engineering & Construction,www.ceec.net.cn
334,Publix Super Markets,U.S.,"Lakeland, Fla.",Food & Drug Stores,Food & Drug Stores,www.publix.com
335,China COSCO Shipping,China,Shanghai,Transportation,Shipping,www.coscoshipping.com
336,Barclays,Britain,London,Financials,Banks: Commercial and Savings,www.home.barclays
337,Toronto-Dominion Bank,Canada,"Toronto, Ontario, Canada",Financials,Banks: Commercial and Savings,www.tdbank.com
338,LyondellBasell Industries,Netherlands,Rotterdam,Chemicals,Chemicals,www.lyb.com
339,Noble Group,China,Hong Kong,Wholesalers,Trading,www.thisisnoble.com
340,Nike,U.S.,"Beaverton, Ore.",Apparel,Apparel,www.nike.com
341,ABB,Switzerland,Zurich,Industrials,Industrial Machinery,www.abb.com
342,Daiwa House Industry,Japan,"Osaka, Japan",Engineering & Construction,Engineering & Construction,www.daiwahouse.co.jp
343,China Aerospace Science & Technology,China,Beijing,Aerospace & Defense,Aerospace & Defense,www.spacechina.com
344,Andeavor,U.S.,San Antonio,Energy,Petroleum Refining,http://www.andeavor.com
345,Enbridge,Canada,"Calgary, Alberta, Canada",Energy,Pipelines,www.enbridge.com
346,China Aerospace Science & Industry,China,Beijing,Aerospace & Defense,Aerospace & Defense,www.casic.com.cn
347,Sompo Holdings,Japan,Tokyo,Financials,Insurance: Property and Casualty (Stock),www.sompo-hd.com
348,Suzuki Motor,Japan,"Hamamatsu, Japan",Motor Vehicles & Parts,Motor Vehicles & Parts,www.globalsuzuki.com
349,Commonwealth Bank of Australia,Australia,Sydney,Financials,Banks: Commercial and Savings,www.commbank.com.au
350,Sumitomo Life Insurance,Japan,"Osaka, Japan",Financials,"Insurance: Life, Health (Mutual)",www.sumitomolife.co.jp
351,World Fuel Services,U.S.,Miami,Energy,Energy,www.wfscorp.com
352,Mitsubishi Chemical Holdings,Japan,Tokyo,Chemicals,Chemicals,www.mitsubishichem-hd.co.jp
353,Country Garden Holdings,China,"Foshan, China",Financials,Real estate,www.countrygarden.com.cn
354,Quanta Computer,Taiwan,"Taoyuan, Taiwan",Technology,"Computers, Office Equipment",www.quantatw.com
355,DZ Bank,Germany,Frankfurt,Financials,Banks: Commercial and Savings,www.dzbank.com
356,Exelon,U.S.,Chicago,Energy,Utilities,www.exeloncorp.com
357,Massachusetts Mutual Life Insurance,U.S.,"Springfield, Mass.",Financials,"Insurance: Life, Health (Mutual)",www.massmutual.com
358,JFE Holdings,Japan,Tokyo,Materials,Metals,www.jfe-holdings.co.jp
359,Jizhong Energy Group,China,"Xingtai, China",Energy,"Mining, Crude-Oil Production",www.jznyjt.com
360,Xiamen ITG Holding Group,China,"Xiamen, China",Wholesalers,Trading,www.itgholding.com.cn
361,Cedar Holdings Group,China,"Guangzhou, China",Wholesalers,Trading,www.cedarhd.com
362,Xiamen C&D,China,"Xiamen, China",Wholesalers,Trading,www.chinacdc.com
363,ConocoPhillips,U.S.,Houston,Energy,"Mining, Crude-Oil Production",www.conocophillips.com
364,Jiangsu Shagang Group,China,"Zhangjiagang, China",Materials,Metals,www.shasteel.cn
365,Bridgestone,Japan,Tokyo,Motor Vehicles & Parts,Motor Vehicles & Parts,www.bridgestone.com
366,Chubb,Switzerland,Zurich,Financials,Insurance: Property and Casualty (Stock),www.chubb.com
367,Mizuho Financial Group,Japan,Tokyo,Financials,Banks: Commercial and Savings,www.mizuho-fg.co.jp
368,Taiwan Semiconductor Manufacturing,Taiwan,"Hsinchu, Taiwan",Technology,Semiconductors and Other Electronic Components,www.tsmc.com
369,China Electronics,China,Beijing,Technology,"Electronics, Electrical Equip.",www.cec.com.cn
370,Jiangxi Copper,China,"Guixi, China",Energy,"Mining, Crude-Oil Production",www.jxcc.com
371,China National Aviation Fuel Group,China,Beijing,Wholesalers,Trading,www.cnaf.com
372,CHS,U.S.,"Inver Grove Heights, Minn.","Food, Beverages & Tobacco",Food Production,www.chsinc.com
373,Credit Suisse Group,Switzerland,Zurich,Financials,Banks: Commercial and Savings,www.credit-suisse.com
374,CK Hutchison Holdings,China,Hong Kong,Retailing,Specialty Retailers,www.ckh.com.hk
375,Xiamen Xiangyu Group,China,"Xiamen City, China",Wholesalers,Trading,www.xiangyu-group.com
376,3M,U.S.,"St. Paul, Minn.",Industrials,Chemicals,www.3m.com
377,BT Group,Britain,London,Telecommunications,Telecommunications,www.btplc.com
378,Mazda Motor,Japan,Hiroshima,Motor Vehicles & Parts,Motor Vehicles & Parts,www.mazda.com
379,Time Warner,U.S.,New York City,Media,Entertainment,www.warnermediagroup.com
380,Hyundai Mobis,South Korea,Seoul,Motor Vehicles & Parts,Motor Vehicles & Parts,www.mobis.co.kr
381,Xinxing Cathay International Group,China,Beijing,Materials,Metals,www.xxcig.com
382,CRH,Ireland,Dublin,Materials,"Building Materials, Glass",www.crh.com
383,General Dynamics,U.S.,"Falls Church, Va.",Aerospace & Defense,Aerospace & Defense,www.generaldynamics.com
384,Subaru,Japan,Tokyo,Motor Vehicles & Parts,Motor Vehicles & Parts,www.subaru.co.jp
385,CRRC,China,Beijing,Industrials,Industrial Machinery,www.crrcgc.cc
386,Schlumberger,U.S.,Houston,Energy,"Oil & Gas Equipment, Services",www.slb.com
387,Rite Aid,U.S.,"Camp Hill, Pa.",Food & Drug Stores,Food & Drug Stores,www.riteaid.com
388,China Electronics Technology Group,China,Beijing,Aerospace & Defense,Aerospace & Defense,www.cetc.com.cn
389,Johnson Controls International,Ireland,"Cork, Ireland",Industrials,Industrial Machinery,www.johnsoncontrols.com
390,USAA,U.S.,San Antonio,Financials,Insurance: Property and Casualty (Stock),www.usaa.com
391,Capital One Financial,U.S.,"McLean, Va.",Financials,Banks: Commercial and Savings,www.capitalone.com
392,L'Oreal,France,"Clichy, France",Household Products,Household and Personal Products,www.loreal.com
393,China State Shipbuilding,China,Beijing,Industrials,Shipping,www.cssc.net.cn
394,Deere,U.S.,"Moline, Ill.",Industrials,Construction and Farm Machinery,www.johndeere.com
395,State Power Investment,China,Beijing,Energy,Energy,www.spic.com.cn
396,Medtronic,Ireland,Dublin,Health Care,Medical Products and Equipment,www.medtronic.com
397,China Huadian,China,Beijing,Energy,Utilities,www.chd.com.cn
398,Idemitsu Kosan,Japan,Tokyo,Energy,Petroleum Refining,www.idemitsu.com
399,Yankuang Group,China,"Shandong, China",Energy,"Mining, Crude-Oil Production",www.ykjt.cn
400,INTL FCStone,U.S.,New York City,Financials,Diversified Financials,www.intlfcstone.com
401,Northwestern Mutual,U.S.,Milwaukee,Financials,"Insurance: Life, Health (Mutual)",www.northwesternmutual.com
402,UniCredit Group,Italy,Milan,Financials,Banks: Commercial and Savings,www.unicreditgroup.eu
403,Enterprise Products Partners,U.S.,Houston,Energy,Pipelines,www.enterpriseproducts.com
404,Compal Electronics,Taiwan,Taipei,Technology,"Computers, Office Equipment",www.compal.com
405,Rajesh Exports,India,"Bengaluru, India",Wholesalers,Trading,www.rajeshindia.com
406,Air France-KLM Group,France,Paris,Transportation,Airlines,www.airfranceklm.com
407,Travelers Cos.,U.S.,New York City,Financials,Insurance: Property and Casualty (Stock),www.travelers.com
408,Inditex,Spain,"Arteixo, Spain",Retailing,Specialty Retailers,www.inditex.com
409,Hewlett Packard Enterprise,U.S.,"Palo Alto, Calif.",Technology,"Computers, Office Equipment",www.hpe.com
410,Cathay Life Insurance,Taiwan,Taipei,Financials,"Insurance: Life, Health (stock)",www.cathaylife.com.tw
411,Philip Morris International,U.S.,New York City,"Food, Beverages & Tobacco",Tobacco,www.pmi.com
412,Coop Group,Switzerland,"Basel, Switzerland",Food & Drug Stores,Food & Drug Stores,www.coop.ch
413,Compass Group,Britain,"Chertsey, Britain",Business Services,Food Services,www.compass-group.com
414,Westpac Banking,Australia,Sydney,Financials,Banks: Commercial and Savings,www.westpac.com.au
415,Migros Group,Switzerland,Zurich,Food & Drug Stores,Food & Drug Stores,www.migros.ch
416,Twenty-First Century Fox,U.S.,New York City,Media,Entertainment,www.21cf.com
417,Phoenix Pharma,Germany,"Mannheim, Germany",Wholesalers,Wholesalers: Health Care,http://www.phoenixgroup.eu
418,Medipal Holdings,Japan,Tokyo,Wholesalers,Wholesalers: Health Care,www.medipal.co.jp
419,Veolia Environnement,France,Paris,Energy,Utilities,www.veolia.com
420,Kansai Electric Power,Japan,"Osaka, Japan",Energy,Utilities,www.kepco.co.jp
421,Samsung Life Insurance,South Korea,Seoul,Financials,"Insurance: Life, Health (stock)",www.samsunglife.com
422,AbbVie,U.S.,"North Chicago, Ill.",Health Care,Pharmaceuticals,www.abbvie.com
423,Royal Philips,Netherlands,Amsterdam,Health Care,Medical Products and Equipment,www.philips.com
424,Schneider Electric,France,"Rueil-Malmaison, France",Technology,"Electronics, Electrical Equip.",www.schneider-electric.com
425,Sumitomo Electric Industries,Japan,"Osaka, Japan",Motor Vehicles & Parts,Motor Vehicles & Parts,www.global-sei.com
426,Danone,France,Paris,"Food, Beverages & Tobacco",Food Consumer Products,www.danone.com
427,Suning.com Group,China,"Nanjing, China",Retailing,Specialty Retailers,http://www.suning.com
428,Ansteel Group,China,"Anshan, China",Materials,Metals,www.ansteel.cn
429,Gas Natural Fenosa,Spain,Madrid,Energy,Utilities,www.gasnaturalfenosa.com
430,Bank of Nova Scotia,Canada,"Toronto, Ontario, Canada",Financials,Banks: Commercial and Savings,www.scotiabank.com
431,Shougang Group,China,Beijing,Materials,Metals,www.shougang.com.cn
432,Wistron,Taiwan,Taipei,Technology,"Computers, Office Equipment",www.wistron.com
433,Abbott Laboratories,U.S.,"Abbott Park, Ill.",Health Care,Medical Products and Equipment,www.abbott.com
434,La Poste,France,Paris,Transportation,"Mail, Package, and Freight Delivery",www.laposte.fr
435,Koc Holding,Turkey,Istanbul,Energy,Energy,www.koc.com.tr
436,CPC,Taiwan,"Kaohsiung , Taiwan",Energy,Petroleum Refining,www.cpc.com.tw
437,Progressive,U.S.,"Mayfield Village, Ohio",Financials,Insurance: Property and Casualty (Stock),www.progressive.com
438,GS Caltex,South Korea,Seoul,Energy,Petroleum Refining,www.gscaltex.com
439,Mapfre Group,Spain,Madrid,Financials,Insurance: Property and Casualty (Stock),www.mapfre.com
440,Arrow Electronics,U.S.,"Centennial, Colo.",Wholesalers,Wholesalers: Electronics and Office Equipment,www.arrow.com
441,Adecco Group,Switzerland,Zurich,Business Services,Human Resources & Employment Services,www.adeccogroup.com
442,SK Hynix,South Korea,"Gyeonggi, South Korea",Technology,Semiconductors and Other Electronic Components,www.skhynix.com
443,East Japan Railway,Japan,Tokyo,Transportation,Railroads,www.jreast.co.jp
444,LafargeHolcim,Switzerland,"Jona, Switzerland",Materials,"Building Materials, Glass",www.lafargeholcim.com
445,Altice,Netherlands,Amsterdam,Telecommunications,Telecommunications,www.altice.net
446,SAP,Germany,"Walldorf, Germany",Technology,Computer Software,www.sap.com
447,Onex,Canada,"Toronto, Ontario, Canada",Technology,Diversified Financials,www.onex.com
448,Australia & New Zealand Banking Group,Australia,"Docklands, Australia",Financials,Banks: Commercial and Savings,www.anz.com
449,Anglo American,Britain,London,Energy,"Mining, Crude-Oil Production",www.angloamerican.com
450,Randstad Holding,Netherlands,"Diemen, Netherlands",Business Services,Human Resources & Employment Services,www.randstad.com
451,Kraft Heinz,U.S.,Pittsburgh,"Food, Beverages & Tobacco",Food Consumer Products,www.kraftheinzcompany.com
452,Plains GP Holdings,U.S.,Houston,Energy,Pipelines,www.plainsallamerican.com
453,British American Tobacco,Britain,London,"Food, Beverages & Tobacco",Tobacco,www.bat.com
454,CFE,Mexico,Mexico City,Energy,Utilities,www.cfe.gob.mx
455,Gilead Sciences,U.S.,"Foster City, Calif.",Health Care,Pharmaceuticals,www.gilead.com
456,Xinjiang Guanghui Industry Investment,China,"Urumqi, China",Wholesalers,Trading,www.guanghui.com
457,Nokia,Finland,"Espoo, Finland",Technology,Network and Other Communications Equipment,www.nokia.com
458,Samsung C&T,South Korea,Seoul,Wholesalers,Trading,www.samsungcnt.com
459,Mondelez International,U.S.,"Deerfield, Ill.","Food, Beverages & Tobacco",Food Consumer Products,www.mondelezinternational.com
460,International Airlines Group,Britain,"Harmondsworth, Britain",Transportation,Airlines,www.iairgroup.com
461,Northrop Grumman,U.S.,"Falls Church, Va.",Aerospace & Defense,Aerospace & Defense,www.northropgrumman.com
462,Chubu Electric Power,Japan,"Nagoya, Japan",Energy,Utilities,www.chuden.co.jp
463,NEC,Japan,Tokyo,Technology,Information Technology Services,www.nec.com
464,Yango Longking Group,China,"Fuzhou, China",Financials,Diversified Financials,http://www.yangholdings.com
465,China Taiping Insurance Group,China,Hong Kong,Financials,"Insurance: Life, Health (Mutual)",www.cntaiping.com
466,Flex,Singapore,Singapore,Technology,Semiconductors and Other Electronic Components,www.flex.com
467,Raytheon,U.S.,"Waltham, Mass.",Aerospace & Defense,Aerospace & Defense,www.raytheon.com
468,China Datang,China,Beijing,Energy,Energy,www.china-cdt.com
469,PKN ORLEN Group,Poland,"Plock, Poland",Energy,Petroleum Refining,www.orlen.pl
470,Ultrapar Holdings,Brazil,Sao Paulo,Energy,Petroleum Refining,www.ultra.com.br
471,KB Financial Group,South Korea,Seoul,Financials,Banks: Commercial and Savings,www.kbfg.com
472,Achmea,Netherlands,"Zeist, Netherlands",Financials,"Insurance: Life, Health (Mutual)",www.achmea.com
473,Macy's,U.S.,Cincinnati,Retailing,General Merchandisers,www.macysinc.com
474,Emirates Group,United Arab Emirates,Dubai,Transportation,Airlines,www.theemiratesgroup.com
475,Heineken Holding,Netherlands,Amsterdam,"Food, Beverages & Tobacco",Beverages,www.theheinekencompany.com
476,Suncor Energy,Canada,"Calgary, Alberta, Canada",Energy,Petroleum Refining,http://www.suncor.com
477,Energie Baden-Wurttemberg,Germany,"Karlsruhe, Germany",Energy,Utilities,www.enbw.com
478,Michelin,France,"Clermont-Ferrand, France",Motor Vehicles & Parts,Motor Vehicles & Parts,www.michelin.com
479,Fubon Financial Holding,Taiwan,Taipei,Financials,"Insurance: Life, Health (stock)",www.fubon.com
480,Adidas,Germany,"Herzogenaurach, Germany",Apparel,Apparel,www.adidas-group.com
481,Shanxi Jincheng Anthracite Coal Mining Group,China,"Jincheng, China",Energy,"Mining, Crude-Oil Production",www.jamg.cn
482,Heraeus Holding,Germany,"Hanau, Germany",Materials,Metals,www.heraeus.com
483,LG Display,South Korea,Seoul,Technology,"Electronics, Electrical Equip.",www.lgdisplay.com
484,DXC Technology,U.S.,"Tysons, Va.",Financials,Information Technology Services,www.dxc.technology
485,National Australia Bank,Australia,"Docklands, Australia",Financials,Banks: Commercial and Savings,www.nab.com.au
486,Ceconomy,Germany,-,Retailing,Specialty Retailers,http://www.ceconomy.de
487,Fomento Economico Mexicano,Mexico,"Monterrey, Mexico","Food, Beverages & Tobacco",Beverages,www.femsa.com
488,US Foods Holding,U.S.,"Rosemont, Ill.",Wholesalers,Wholesalers: Food and Grocery,www.usfoods.com
489,Taikang Insurance Group,China,Beijing,Financials,"Insurance: Life, Health (Mutual)",www.taikang.com
490,U.S. Bancorp,U.S.,Minneapolis,Financials,Banks: Commercial and Savings,www.usbank.com
491,Boehringer Ingelheim,Germany,"Ingelheim, Germany",Health Care,Pharmaceuticals,www.boehringer-ingelheim.com
492,Rabobank Group,Netherlands,"Utrecht, Netherlands",Financials,Banks: Commercial and Savings,www.rabobank.com
493,CJ Corp.,South Korea,Seoul,Retailing,Specialty Retailers,www.cj.net
494,Yangquan Coal Industry Group,China,"Yangquan, China",Energy,"Mining, Crude-Oil Production",www.ymjt.com.cn
495,Shanxi LuAn Mining Group,China,"Changzhi, China",Energy,"Mining, Crude-Oil Production",www.chinaluan.com
496,Henan Energy & Chemical,China,"Zhengzhou, China",Energy,"Mining, Crude-Oil Production",www.hnecgc.com.cn
497,Datong Coal Mine Group,China,"Datong, China",Energy,"Mining, Crude-Oil Production",www.dtcoalmine.com
498,BAE Systems,Britain,London,Aerospace & Defense,Aerospace & Defense,www.baesystems.com
499,Qingdao Haier,China,"Qingdao, China",Technology,"Electronics, Electrical Equip.",www.haier.com/cn
500,Ericsson,Sweden,Stockholm,Technology,Network and Other Communications Equipment,http://www.ericsson.com
