Ranking,Company,Nation,HQ,Sector,Industry,Web
66,Siemens,Germany,Munich,Industrials,Industrial Machinery,www.siemens.com
67,Phillips 66,U.S.,Houston,Energy,Petroleum Refining,www.phillips66.com
68,Carrefour,France,"Boulogne-Billancourt, France",Food & Drug Stores,Food & Drug Stores,www.carrefour.com
69,Nestle,Switzerland,"Vevey, Switzerland","Food, Beverages & Tobacco",Food Consumer Products,www.nestle.com
70,Anthem,U.S.,Indianapolis,Health Care,Health Care: Insurance and Managed Care,www.antheminc.com
71,Microsoft,U.S.,"Redmond, Wash.",Technology,Computer Software,www.microsoft.com
72,Huawei Investment & Holding,China,"Shenzhen, China",Technology,Network and Other Communications Equipment,www.huawei.com
73,Petrobras,Brazil,Rio de Janeiro,Energy,Petroleum Refining,www.petrobras.com.br
74,Valero Energy,U.S.,San Antonio,Energy,Petroleum Refining,www.valero.com
75,Bosch Group,Germany,"Stuttgart, Germany",Motor Vehicles & Parts,Motor Vehicles & Parts,www.bosch.com
76,Citigroup,U.S.,New York City,Financials,Banks: Commercial and Savings,www.citigroup.com
77,Banco Santander,Spain,Madrid,Financials,Banks: Commercial and Savings,www.santander.com
78,Hyundai Motor,South Korea,Seoul,Motor Vehicles & Parts,Motor Vehicles & Parts,worldwide.hyundai.com
79,Hitachi,Japan,Tokyo,Technology,"Electronics, Electrical Equip.",www.hitachi.com
80,Comcast,U.S.,Philadelphia,Telecommunications,Telecommunications,www.comcastcorporation.com
81,Deutsche Telekom,Germany,"Bonn, Germany",Telecommunications,Telecommunications,www.telekom.com
82,Credit Agricole,France,Paris,Financials,Banks: Commercial and Savings,www.credit-agricole.com
83,Enel,Italy,Rome,Energy,Utilities,www.enel.com
84,SK Holdings,South Korea,Seoul,Energy,Petroleum Refining,www.sk.co.kr
85,SoftBank Group,Japan,Tokyo,Telecommunications,Telecommunications,www.softbank.jp
86,China Resources,China,Hong Kong,Health Care,Pharmaceuticals,www.crc.com.hk
87,China National Offshore Oil,China,Beijing,Energy,"Mining, Crude-Oil Production",www.cnooc.com.cn
88,Uniper,Germany,"D??_sseldorf, Germany",Energy,Energy,www.uniper.engergy
89,ENI,Italy,Rome,Energy,Petroleum Refining,www.eni.com
90,HSBC Holdings,Britain,London,Financials,Banks: Commercial and Savings,www.hsbc.com
91,China Communications Construction,China,Beijing,Engineering & Construction,Engineering & Construction,www.ccccltd.cn
92,IBM,U.S.,"Armonk, N.Y.",Technology,Information Technology Services,www.ibm.com
93,Dell Technologies,U.S.,"Round Rock, Texas",Technology,"Computers, Office Equipment",www.delltechnologies.com
