Words,Category,Topic
group,기업,Topic 0
product,기업,Topic 0
service,기업,Topic 0
price,기업,Topic 0
customer,기업,Topic 0
trade,기업,Topic 0
software,기업,Topic 0
market,기업,Topic 0
technology,기업,Topic 0
buy,기업,Topic 0
review,기업,Topic 0
platform,기업,Topic 0
deal,기업,Topic 0
report,기업,Topic 0
consumer,기업,Topic 0
report,기업,Topic 1
device,기업,Topic 1
search,기업,Topic 1
security,기업,Topic 1
note,기업,Topic 1
information,기업,Topic 1
share,기업,Topic 1
feature,기업,Topic 1
statement,기업,Topic 1
customer,기업,Topic 1
image,기업,Topic 1
network,기업,Topic 1
change,기업,Topic 1
release,기업,Topic 1
appear,기업,Topic 1
