Words,Category,Topic
privacy,제품/기술/서비스,Topic 0
network,제품/기술/서비스,Topic 0
service,제품/기술/서비스,Topic 0
note,제품/기술/서비스,Topic 0
information,제품/기술/서비스,Topic 0
device,제품/기술/서비스,Topic 0
technology,제품/기술/서비스,Topic 0
home,제품/기술/서비스,Topic 0
galaxy,제품/기술/서비스,Topic 0
design,제품/기술/서비스,Topic 0
thing,제품/기술/서비스,Topic 0
customer,제품/기술/서비스,Topic 0
software,제품/기술/서비스,Topic 0
base,제품/기술/서비스,Topic 0
share,제품/기술/서비스,Topic 0
security,제품/기술/서비스,Topic 1
researcher,제품/기술/서비스,Topic 1
attack,제품/기술/서비스,Topic 1
device,제품/기술/서비스,Topic 1
group,제품/기술/서비스,Topic 1
service,제품/기술/서비스,Topic 1
program,제품/기술/서비스,Topic 1
tool,제품/기술/서비스,Topic 1
research,제품/기술/서비스,Topic 1
platform,제품/기술/서비스,Topic 1
report,제품/기술/서비스,Topic 1
product,제품/기술/서비스,Topic 1
network,제품/기술/서비스,Topic 1
target,제품/기술/서비스,Topic 1
issue,제품/기술/서비스,Topic 1
