Word,International,Regulation,Corporate,Law,Market,Tech
statement,0.0,1.0,0.5,0.5,0.5,0.0
store,0.0,0.0,0.5,0.0,0.0,0.5
stream,0.0,0.0,0.5,0.0,0.0,0.0
sue,0.0,0.0,0.0,0.5,0.0,0.0
target,0.0,0.0,0.5,0.0,0.0,0.5
tech,0.0,2.0,0.0,0.0,0.5,0.0
technology,1.0,2.0,1.5,0.5,1.0,1.5
thing,0.0,0.0,0.5,0.0,0.0,1.0
think,0.0,0.0,0.0,0.0,0.0,0.5
threat,1.5,0.0,0.0,0.0,0.0,0.0
tool,0.0,0.0,0.0,0.0,0.0,0.5
trade,2.0,1.0,1.0,0.5,0.5,0.0
transaction,0.0,0.0,0.0,0.0,0.0,0.5
trump,1.5,1.0,0.0,0.0,0.0,0.0
wallet,0.0,0.0,0.0,0.0,0.0,0.5
world,1.5,0.5,1.0,0.0,0.5,0.5
