Company,Nation
Shaanxi Coal & Chemical Industry,China
AIA Group,China
BHP Billiton,Australia
Tyson Foods,U.S.
Fresenius,Germany
Alimentation Couche-Tard,Canada
United Continental Holdings,U.S.
J. Sainsbury,Britain
Poste Italiane,Italy
Maersk Group,Denmark
UBS Group,Switzerland
Bouygues,France
George Weston,Canada
Meiji Yasuda Life Insurance,Japan
Edeka Zentrale,Germany
China Poly Group,China
Bharat Petroleum,India
Tech Data,U.S.
Centrica,Britain
TIAA,U.S.
SNCF Mobilites,France
TJX,U.S.
China Everbright Group,China
Midea Group,China
Intesa Sanpaolo,Italy
Vale,Brazil
American Express,U.S.
Coca-Cola,U.S.
Aisin Seiki,Japan
Iberdrola,Spain
China Vanke,China
China Energy Engineering Group,China
Publix Super Markets,U.S.
China COSCO Shipping,China
Barclays,Britain
Toronto-Dominion Bank,Canada
LyondellBasell Industries,Netherlands
Noble Group,China
Nike,U.S.
ABB,Switzerland
Daiwa House Industry,Japan
China Aerospace Science & Technology,China
Andeavor,U.S.
Enbridge,Canada
China Aerospace Science & Industry,China
Sompo Holdings,Japan
Suzuki Motor,Japan
Commonwealth Bank of Australia,Australia
Sumitomo Life Insurance,Japan
World Fuel Services,U.S.
Country Garden Holdings,China
Quanta Computer,Taiwan
DZ Bank,Germany
Exelon,U.S.
Massachusetts Mutual Life Insurance,U.S.
JFE Holdings,Japan
Jizhong Energy Group,China
Xiamen ITG Holding Group,China
Cedar Holdings Group,China
Xiamen C&D,China
ConocoPhillips,U.S.
Jiangsu Shagang Group,China
Bridgestone,Japan
Chubb,Switzerland
Mizuho Financial Group,Japan
Taiwan Semiconductor Manufacturing,Taiwan
China Electronics,China
Jiangxi Copper,China
China National Aviation Fuel Group,China
CHS,U.S.
Credit Suisse Group,Switzerland
CK Hutchison Holdings,China
Xiamen Xiangyu Group,China
3M,U.S.
BT Group,Britain
Mazda Motor,Japan
Time Warner,U.S.
Hyundai Mobis,South Korea
Xinxing Cathay International Group,China
CRH,Ireland
General Dynamics,U.S.
Subaru,Japan
CRRC,China
Schlumberger,U.S.
Rite Aid,U.S.
China Electronics Technology Group,China
Johnson Controls International,Ireland
USAA,U.S.
Capital One Financial,U.S.
L'Oreal,France
China State Shipbuilding,China
Deere,U.S.
State Power Investment,China
Medtronic,Ireland
China Huadian,China
Idemitsu Kosan,Japan
Yankuang Group,China
INTL FCStone,U.S.
Northwestern Mutual,U.S.
UniCredit Group,Italy
Enterprise Products Partners,U.S.
Compal Electronics,Taiwan
Rajesh Exports,India
Air France-KLM Group,France
Travelers Cos.,U.S.
Inditex,Spain
Hewlett Packard Enterprise,U.S.
Cathay Life Insurance,Taiwan
Philip Morris International,U.S.
Coop Group,Switzerland
