Words,Category,Topic
consumer,痹力/痹力扁包,Topic 0
market,痹力/痹力扁包,Topic 0
court,痹力/痹力扁包,Topic 0
product,痹力/痹力扁包,Topic 0
competition,痹力/痹力扁包,Topic 0
case,痹力/痹力扁包,Topic 0
tech,痹力/痹力扁包,Topic 0
service,痹力/痹力扁包,Topic 0
rule,痹力/痹力扁包,Topic 0
regulator,痹力/痹力扁包,Topic 0
law,痹力/痹力扁包,Topic 0
technology,痹力/痹力扁包,Topic 0
network,痹力/痹力扁包,Topic 0
country,痹力/痹力扁包,Topic 0
giant,痹力/痹力扁包,Topic 0
report,痹力/痹力扁包,Topic 1
security,痹力/痹力扁包,Topic 1
trump,痹力/痹力扁包,Topic 1
law,痹力/痹力扁包,Topic 1
state,痹力/痹力扁包,Topic 1
group,痹力/痹力扁包,Topic 1
government,痹力/痹力扁包,Topic 1
platform,痹力/痹力扁包,Topic 1
information,痹力/痹力扁包,Topic 1
president,痹力/痹力扁包,Topic 1
problem,痹力/痹力扁包,Topic 1
content,痹力/痹力扁包,Topic 1
ban,痹力/痹力扁包,Topic 1
speech,痹力/痹力扁包,Topic 1
world,痹力/痹力扁包,Topic 1
