Words,Category,Topic
service,제품/기술/서비스,Topic 0
network,제품/기술/서비스,Topic 0
cryptocurrency,제품/기술/서비스,Topic 0
report,제품/기술/서비스,Topic 0
device,제품/기술/서비스,Topic 0
state,제품/기술/서비스,Topic 0
security,제품/기술/서비스,Topic 0
bank,제품/기술/서비스,Topic 0
privacy,제품/기술/서비스,Topic 0
blockchain,제품/기술/서비스,Topic 0
issue,제품/기술/서비스,Topic 0
technology,제품/기술/서비스,Topic 0
bitcoin,제품/기술/서비스,Topic 0
store,제품/기술/서비스,Topic 0
money,제품/기술/서비스,Topic 0
service,제품/기술/서비스,Topic 1
technology,제품/기술/서비스,Topic 1
think,제품/기술/서비스,Topic 1
game,제품/기술/서비스,Topic 1
know,제품/기술/서비스,Topic 1
feature,제품/기술/서비스,Topic 1
report,제품/기술/서비스,Topic 1
thing,제품/기술/서비스,Topic 1
product,제품/기술/서비스,Topic 1
line,제품/기술/서비스,Topic 1
computer,제품/기술/서비스,Topic 1
source,제품/기술/서비스,Topic 1
internet,제품/기술/서비스,Topic 1
launch,제품/기술/서비스,Topic 1
design,제품/기술/서비스,Topic 1
